id,group,context,question,answer
-110568902122935062,applicable_actions_bool,"This is a ferry domain, where the task is to transport cars from their start to their goal locations, using a ferry. Each location is accessible by ferry from each other location. The cars can be debarked or boarded, and the ferry can carry only one car at a time. There are 3 locations and 10 cars, numbered consecutively. Currently, the ferry is at l1, with the car c2 on board. The cars are at locations as follows: c6, c3, and c0 are at l2; c4, c9, and c7 are at l0; c1, c8, and c5 are at l1.",Is the following action applicable in this state: debark the car c2 from the ferry to location l1?,yes
755554680653358711,applicable_actions_bool,"This is a ferry domain, where the task is to transport cars from their start to their goal locations, using a ferry. Each location is accessible by ferry from each other location. The cars can be debarked or boarded, and the ferry can carry only one car at a time. There are 5 locations and 50 cars, numbered consecutively. Currently, the ferry is at l1 location and it is empty. The cars are at locations as follows: c30, c38, c14, c45, c26, c28, c20, c0, c36, c35, c47, and c29 are at l4; c27, c17, c41, c6, c18, c9, c1, c24, c40, and c10 are at l0; c11, c2, c46, c33, c19, c48, c32, c34, c15, and c44 are at l1; c21, c22, c16, and c8 are at l2; c4, c5, c31, c23, c37, c42, c43, c49, c25, c3, c7, c13, c12, and c39 are at l3.",Is the following action applicable in this state: sail from location l1 to location l0?,yes
2611971980975359264,applicable_actions_bool,"This is a ferry domain, where the task is to transport cars from their start to their goal locations, using a ferry. Each location is accessible by ferry from each other location. The cars can be debarked or boarded, and the ferry can carry only one car at a time. There are 2 locations and 50 cars, numbered consecutively. Currently, the ferry is at l1 location and it is empty. The cars are at locations as follows: c3, c7, c46, c10, c39, c28, c16, c49, c18, c33, c24, c23, c5, c6, c35, c4, c42, c48, c13, c47, c31, c32, c45, c34, c27, c41, c17, c15, and c1 are at l1; c8, c21, c14, c19, c12, c0, c9, c22, c36, c30, c37, c2, c26, c43, c11, c38, c40, c25, c44, c20, and c29 are at l0.",Is the following action applicable in this state: unload the car c20 from the ferry to location l1?,no
-7602195549801926683,applicable_actions_bool,"This is a ferry domain, where the task is to transport cars from their start to their goal locations, using a ferry. Each location is accessible by ferry from each other location. The cars can be debarked or boarded, and the ferry can carry only one car at a time. There are 3 locations and 10 cars, numbered consecutively. Currently, the ferry is at l1 location and it is empty. The cars are at locations as follows: c6, c5, c3, and c8 are at l2; c0, c2, and c1 are at l1; c4, c9, and c7 are at l0.",Is the following action applicable in this state: embark the car c2 at location l1 on to the ferry?,yes
-7944626186152686548,applicable_actions_bool,"This is a ferry domain, where the task is to transport cars from their start to their goal locations, using a ferry. Each location is accessible by ferry from each other location. The cars can be debarked or boarded, and the ferry can carry only one car at a time. There are 2 locations and 50 cars, numbered consecutively. Currently, the ferry is at l0, with the car c3 on board. The cars are at locations as follows: c7, c46, c10, c38, c39, c28, c16, c49, c18, c24, c23, c5, c4, c42, c48, c47, c31, c32, c45, c34, c40, c27, c41, c17, c15, c1, c37, and c43 are at l1; c33, c13, c8, c21, c14, c19, c6, c12, c0, c9, c22, c36, c30, c2, c26, c11, c25, c44, c35, c20, and c29 are at l0.",Is the following action applicable in this state: debark the car c5 from the ferry to location l0?,no
-8435814034808461851,applicable_actions_bool,"This is a ferry domain, where the task is to transport cars from their start to their goal locations, using a ferry. Each location is accessible by ferry from each other location. The cars can be debarked or boarded, and the ferry can carry only one car at a time. There are 2 locations and 50 cars, numbered consecutively. Currently, the ferry is at l1, with the car c25 on board. The cars are at locations as follows: c7, c46, c26, c10, c39, c28, c16, c49, c18, c24, c36, c5, c4, c42, c48, c47, c31, c32, c45, c34, c40, c27, c41, c17, c15, c1, c37, and c43 are at l1; c33, c13, c8, c21, c14, c19, c6, c12, c0, c3, c9, c22, c30, c2, c11, c38, c23, c44, c35, c20, and c29 are at l0.",Is the following action applicable in this state: debark car c25 to location l1 from the ferry?,yes
-1400957235244864274,applicable_actions_bool,"This is a ferry domain, where the task is to transport cars from their start to their goal locations, using a ferry. Each location is accessible by ferry from each other location. The cars can be debarked or boarded, and the ferry can carry only one car at a time. There are 5 locations and 50 cars, numbered consecutively. Currently, the ferry is at l0, with the car c36 on board. The cars are at locations as follows: c30, c38, c14, c45, c27, c9, c28, c0, c41, c8, c47, and c29 are at l4; c11, c2, c46, c44, c33, c19, c48, c32, and c15 are at l1; c42, c16, c17, c18, c4, c1, c24, and c10 are at l0; c21, c22, c26, c40, c39, and c35 are at l2; c5, c31, c6, c20, c23, c37, c43, c49, c34, c25, c3, c7, c13, and c12 are at l3.",Is the following action applicable in this state: travel by sea from location l0 to location l1?,yes
-8778684383433285577,applicable_actions_bool,"This is a ferry domain, where the task is to transport cars from their start to their goal locations, using a ferry. Each location is accessible by ferry from each other location. The cars can be debarked or boarded, and the ferry can carry only one car at a time. There are 5 locations and 50 cars, numbered consecutively. Currently, the ferry is at l4, with the car c8 on board. The cars are at locations as follows: c30, c38, c14, c45, c26, c27, c28, c0, c36, c35, c47, and c29 are at l4; c11, c2, c46, c33, c19, c48, c32, c15, and c44 are at l1; c16, c17, c41, c6, c18, c9, c1, c24, c10, and c25 are at l0; c21, c22, c3, and c40 are at l2; c4, c5, c31, c20, c23, c37, c42, c43, c49, c34, c7, c13, c12, and c39 are at l3.",Is the following action applicable in this state: unload the car c9 from the ferry to location l1?,no
346889584057983317,applicable_actions_bool,"This is a ferry domain, where the task is to transport cars from their start to their goal locations, using a ferry. Each location is accessible by ferry from each other location. The cars can be debarked or boarded, and the ferry can carry only one car at a time. There are 3 locations and 10 cars, numbered consecutively. Currently, the ferry is at l1, with the car c5 on board. The cars are at locations as follows: c6, c9, and c2 are at l0; c4, c7, c1, and c8 are at l1; c3 and c0 are at l2.",Is the following action applicable in this state: travel by sea from location l0 to location l1?,no
3989173217951987627,applicable_actions_bool,"This is a ferry domain, where the task is to transport cars from their start to their goal locations, using a ferry. Each location is accessible by ferry from each other location. The cars can be debarked or boarded, and the ferry can carry only one car at a time. There are 2 locations and 50 cars, numbered consecutively. Currently, the ferry is at l0 location and it is empty. The cars are at locations as follows: c7, c46, c26, c10, c38, c39, c28, c49, c24, c36, c5, c4, c42, c25, c48, c47, c21, c31, c43, c32, c45, c34, c40, c27, c41, c15, c1, and c22 are at l1; c33, c13, c16, c8, c14, c17, c19, c6, c18, c12, c0, c3, c9, c30, c37, c2, c11, c23, c44, c35, c20, and c29 are at l0.",Is the following action applicable in this state: board the car c44 at location l0?,yes
