ID,Template,Plan,Filled_Template,Filled_Plan
0,assistant: Hello! I'd love to help you discover new attractions. What's your favorite type of <ATTRACTION_TYPE_2> activity?,,assistant: Hello! I'd love to help you discover new attractions. What's your favorite type of Guided activity?,
0,user: I'm planning a trip to <STATE_1> and I want to find some <ATTRACTION_TYPE_2> attractions.,"attractions = search_attractions(state=""<STATE_1>"", type=[""<ATTRACTION_TYPE_2>""])
save_to_cache(key=""attractions"", value=attractions)",user: I'm planning a trip to CO and I want to find some Guided attractions.,"attractions = search_attractions(state=""CO"", type=[""Guided""])
save_to_cache(key=""attractions"", value=attractions)"
0,assistant: <STATE_1> has a lot to offer. Can you tell me more about what you're looking for in a <ATTRACTION_TYPE_2> experience?,,assistant: CO has a lot to offer. Can you tell me more about what you're looking for in a Guided experience?,
0,"user: Not really, just something exciting.",,"user: Not really, just something exciting.",
0,assistant: Let me ask you this: are you open to trying new things or do you prefer more traditional <ATTRACTION_TYPE_2> activities?,,assistant: Let me ask you this: are you open to trying new things or do you prefer more traditional Guided activities?,
0,user: I'm open to anything.,,user: I'm open to anything.,
1,"assistant: Hello! What kind of attractions are you looking for? Are you interested in history, art, or something else?",,"assistant: Hello! What kind of attractions are you looking for? Are you interested in history, art, or something else?",
1,user: I'm interested in <ATTRACTION_TYPE_1> and <ATTRACTION_TYPE_2> attractions in <STATE_1>.,"attractions = search_attractions(type=[""<ATTRACTION_TYPE_1>"", ""<ATTRACTION_TYPE_2>""], state=""<STATE_1>"")
save_to_cache(key=""attractions"", value=attractions)",user: I'm interested in Art and Scenic attractions in GA.,"attractions = search_attractions(type=[""Art"", ""Scenic""], state=""GA"")
save_to_cache(key=""attractions"", value=attractions)"
1,assistant: <STATE_1> has a lot to offer. Are you looking at specific cities or regions?,,assistant: GA has a lot to offer. Are you looking at specific cities or regions?,
1,"user: Yeah, I'm thinking of visiting <CITY_2> and <CITY_3>.","attractions = get_results_from_cache(key=""attractions"")
filtered_attractions1 = filter_attractions(prior_results=attractions, city=""<CITY_2>"")
filtered_attractions2 = filter_attractions(prior_results=attractions, city=""<CITY_3>"")
save_to_cache(key=""filtered_attractions1"", value=filtered_attractions1)
save_to_cache(key=""filtered_attractions2"", value=filtered_attractions2)","user: Yeah, I'm thinking of visiting Fresno and Memphis.","attractions = get_results_from_cache(key=""attractions"")
filtered_attractions1 = filter_attractions(prior_results=attractions, city=""Fresno"")
filtered_attractions2 = filter_attractions(prior_results=attractions, city=""Memphis"")
save_to_cache(key=""filtered_attractions1"", value=filtered_attractions1)
save_to_cache(key=""filtered_attractions2"", value=filtered_attractions2)"
1,assistant: Both <CITY_2> and <CITY_3> have great <ATTRACTION_TYPE_1> and <ATTRACTION_TYPE_2> attractions. Let me tell you about some of them.,,assistant: Both Fresno and Memphis have great Art and Scenic attractions. Let me tell you about some of them.,
1,user: That sounds great.,"filtered_attractions1 = get_results_from_cache(key=""filtered_attractions1"")
filtered_attractions2 = get_results_from_cache(key=""filtered_attractions2"")",user: That sounds great.,"filtered_attractions1 = get_results_from_cache(key=""filtered_attractions1"")
filtered_attractions2 = get_results_from_cache(key=""filtered_attractions2"")"
2,assistant: Hello! What brings you here today? Are you looking for a quick weekend getaway or a longer vacation?,,assistant: Hello! What brings you here today? Are you looking for a quick weekend getaway or a longer vacation?,
2,user: I'm planning a trip to <STATE_2> and I want to find some <ATTRACTION_TYPE_1> attractions.,"attractions = search_attractions(state=""<STATE_2>"", type=[""<ATTRACTION_TYPE_1>""])
save_to_cache(key=""attractions"", value=attractions)",user: I'm planning a trip to OR and I want to find some Culinary attractions.,"attractions = search_attractions(state=""OR"", type=[""Culinary""])
save_to_cache(key=""attractions"", value=attractions)"
